City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
138,Gat,IL,72.39,broken clouds,31.61,34.76,OlusHome
141,Isangel,VU,84.31,scattered clouds,-19.55,169.27,Tanna Lodge
142,Kavaratti,IN,81.68,moderate rain,10.57,72.64,Hotels in Lakshadweep Islands
143,Geraldton,AU,64.81,clear sky,-28.77,114.6,Broadwater Mariner Resort
145,Caravelas,BR,72.95,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
147,Gamboma,CG,74.7,light rain,-1.88,15.86,Residence N'Keni
148,Tezu,IN,65.86,broken clouds,27.92,96.17,Circuit House
151,San Marcos,US,75.88,broken clouds,33.14,-117.17,Hampton Inn San Marcos
152,Ponta Do Sol,PT,71.71,scattered clouds,32.67,-17.1,Hotel do Campo
154,Mwene-Ditu,CD,65.73,light rain,-7.0,23.45,Hôtel Kamas
156,Meulaboh,ID,75.7,moderate rain,4.14,96.13,Kost Pria
157,Treinta Y Tres,UY,68.04,overcast clouds,-33.23,-54.38,Jardines Apart-Hotel
159,Buraydah,SA,68.45,clear sky,26.33,43.98,فندق راحة السلام
160,Buchanan,LR,76.96,overcast clouds,5.88,-10.05,Kamaneahn Hotel Inc
161,Richards Bay,ZA,61.72,scattered clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
162,Seminole,US,68.99,broken clouds,28.71,-81.21,Ono Hot Dog Cart and Catering
167,Namibe,AO,65.66,broken clouds,-15.2,12.15,Hotel Chik Chik Namibe
168,Vila Velha,BR,71.55,broken clouds,-20.33,-40.29,Quality Suites Vila Velha
171,Kavieng,PG,84.24,light rain,-2.57,150.8,Nusa Island Retreat
172,Tra Vinh,VN,80.47,broken clouds,9.93,106.35,Hồng Ân
174,Port Lincoln,AU,62.35,clear sky,-34.73,135.87,Port Lincoln Hotel
177,Kieta,PG,81.45,light rain,-6.22,155.63,Uruna Bay Retreat
178,Victoria,HK,76.32,overcast clouds,22.29,114.16,Mini Hotel Central
181,Bathsheba,BB,81.21,scattered clouds,13.22,-59.52,Atlantis Hotel
182,Yei,SS,65.84,overcast clouds,4.09,30.68,City Link Hotel
183,Guerrero Negro,MX,70.75,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
187,Krabi,TH,82.98,broken clouds,8.07,98.91,Tharapark View Hotel
188,Gilroy,US,67.5,overcast clouds,37.01,-121.57,Hilton Garden Inn Gilroy
194,Faanui,PF,78.26,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
196,Robertsport,LR,77.83,light rain,6.75,-11.37,Kwepunha Retreat
198,Moree,AU,75.22,clear sky,-29.47,149.85,Molika Springs Motel
199,Saint George,US,77.47,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
201,Namwala,ZM,77.77,broken clouds,-15.75,26.44,Corner Point Lodge
206,Barcelona,ES,67.32,few clouds,41.39,2.16,Axel Hotel Barcelona
208,Vanimo,PG,84.85,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
211,Laguna,US,68.5,overcast clouds,38.42,-121.42,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
212,Arraial Do Cabo,BR,70.9,overcast clouds,-22.97,-42.03,Pousada Porto Praia
