City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
605,Pandan,PH,80.62,overcast clouds,14.05,124.17,Bonifacio Lodge
609,Kalmunai,LK,77.43,overcast clouds,7.42,81.82,VS Villa
613,Broken Hill,AU,62.44,overcast clouds,-31.95,141.43,Daydream Motel & Cottages
618,Anloga,GH,82.62,broken clouds,5.79,0.9,Pin Drop Hotel
619,Campina Verde,BR,73.71,light rain,-19.54,-49.49,Hotel Lino
620,Kuching,MY,79.02,few clouds,1.55,110.33,Hilton Kuching
624,Ontario,US,81.05,broken clouds,34.06,-117.65,American Inn
626,Ocampo,MX,63.05,broken clouds,21.65,-101.5,Casa de ratas
627,Manacor,ES,70.68,overcast clouds,39.57,3.21,Hotel Can Guixa
628,Olinda,BR,80.33,scattered clouds,-8.01,-34.86,Pousada Sitio Do Carmo
632,Benguela,AO,74.66,overcast clouds,-12.58,13.41,Hotel Praia Morena
633,Pimenta Bueno,BR,78.78,overcast clouds,-11.67,-61.19,Cristalina Palace Hotel
635,Baghdad,IQ,78.71,broken clouds,33.34,44.4,Baghdad Hotel
637,Mogadishu,SO,78.62,broken clouds,2.04,45.34,Hotel Juba
639,Uruguaiana,BR,82.33,clear sky,-29.75,-57.09,Fares Turis Hotel
642,Demba,CD,67.06,overcast clouds,-5.51,22.27,Guest House Du Cinquantenaire
643,Cozumel,MX,80.94,few clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
644,Governador Valadares,BR,72.05,overcast clouds,-18.85,-41.95,Hotel Panorama
645,Cape Canaveral,US,70.03,few clouds,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
646,Marakkanam,IN,79.2,overcast clouds,12.2,79.95,OYO 73765 Ocean Breeze Guest House
647,Muros,ES,65.23,overcast clouds,42.78,-9.06,Apartment Av. Castelao
651,Andros Town,BS,78.76,broken clouds,24.7,-77.77,Hanks place
652,Samarai,PG,83.53,overcast clouds,-10.62,150.67,Nuli Sapi
653,Sao Gabriel Da Cachoeira,BR,76.08,overcast clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
654,Sola,VU,86.67,broken clouds,-13.88,167.55,Ulkel Guest House
656,Mitsamiouli,KM,77.41,few clouds,-11.38,43.28,Foyer ADM
657,Port Hueneme,US,79.43,haze,34.15,-119.2,Hampton Inn Channel Islands Harbor
661,Muncar,ID,81.57,broken clouds,-8.43,114.33,Zaky Homestay
662,Cortez,US,61.56,clear sky,37.35,-108.59,Sand Canyon National 9 Inn
663,Gombong,ID,79.45,overcast clouds,-7.61,109.51,Grafika Hotel Dan Restoran
664,Manakara,MG,69.75,light rain,-22.13,48.02,La Residence Manakara
665,Forestville,US,60.06,light intensity drizzle,38.85,-76.88,Quality Inn Near Joint Base Andrews-Washington Area
666,Kismayo,SO,78.48,few clouds,-0.36,42.55,Agan-Hotel
669,Wewak,PG,83.25,broken clouds,-3.55,143.63,In Wewak Boutique Hotel
670,Naze,JP,74.32,clear sky,28.37,129.48,オーベルジュ・アガルイ
672,Ilhabela,BR,69.57,overcast clouds,-23.78,-45.36,Ilha Flat Hotel
673,Popondetta,PG,91.31,broken clouds,-8.75,148.25,Timos Transit House
674,Nador,MA,64.65,clear sky,35.17,-2.93,Hôtel La Giralda
676,Mongu,ZM,75.52,broken clouds,-15.25,23.13,Country Lodge Mongu
677,Inirida,CO,74.41,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
679,Sinnar,SD,84.18,scattered clouds,13.57,33.57,فندق الرشيد
681,Matara,LK,75.88,broken clouds,5.95,80.54,Amaloh Boutique Resort
682,Ketou,BJ,75.47,overcast clouds,7.36,2.6,Residences Celine Hotel Ketou
683,Dibai,IN,65.8,clear sky,28.22,78.25,Shahnaai Garden
686,Nouadhibou,MR,69.78,few clouds,20.93,-17.03,El Medina
687,Buenos Aires,AR,78.98,clear sky,-34.61,-58.38,Gran Hotel Argentino
691,Bubaque,GW,79.38,overcast clouds,11.28,-15.83,"Casa Dora, Bubaque"
692,Angoche,MZ,72.54,clear sky,-16.23,39.91,Guest House HESADA
693,Ipameri,BR,69.73,overcast clouds,-17.72,-48.16,Real Hotel
694,Nieuw Amsterdam,SR,80.62,clear sky,5.88,-55.08,Hotel Stardust
697,Basco,PH,80.83,broken clouds,20.45,121.97,Nathaniel's Lodge
699,Gigmoto,PH,80.74,overcast clouds,13.78,124.39,Cj's Travellers Inn
702,Sokoto,NG,81.7,few clouds,13.06,5.24,Shukura Coral Hotel
703,Scalea,IT,60.33,light rain,39.81,15.8,Grand Hotel de Rose
704,Jagannathpur,IN,67.48,broken clouds,22.23,85.65,Hotel sidhiviynak
