City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tuatapere,NZ,2021-10-26 17:40:21,-46.1333,167.6833,52.75,97,99,2.17
68,Castanos,MX,2021-10-26 17:40:21,26.7833,-101.4167,84.34,47,99,4.68
69,San Patricio,US,2021-10-26 17:40:22,28.017,-97.5169,86.02,57,99,16.15
70,Turayf,SA,2021-10-26 17:40:22,31.6725,38.6637,71.85,28,0,4.61
71,Sao Jose De Ribamar,BR,2021-10-26 17:40:22,-2.5619,-44.0542,91.78,73,46,17.83
72,Ahuimanu,US,2021-10-26 17:40:23,21.4447,-157.8378,76.78,70,20,4.61
73,Goderich,CA,2021-10-26 17:40:23,43.7501,-81.7165,46.9,76,100,16.11
74,Alyangula,AU,2021-10-26 17:40:23,-13.8483,136.4192,78.67,94,4,3.44
75,Ponnani,IN,2021-10-26 17:40:24,10.767,75.9252,81.72,89,100,4.41
76,Lerik,AZ,2021-10-26 17:40:24,38.7726,48.4128,32.72,87,70,3.94
77,Shingu,JP,2021-10-26 17:40:24,33.7333,135.9833,60.49,75,46,4.52
78,Hasaki,JP,2021-10-26 17:40:25,35.7333,140.8333,48.6,71,2,4.03
79,Souillac,MU,2021-10-26 17:40:25,-20.5167,57.5167,74.35,73,40,12.66
80,Tezu,IN,2021-10-26 17:40:25,27.9167,96.1667,67.93,62,0,4.43
81,Sitrah,BH,2021-10-26 17:40:25,26.1547,50.6206,82.4,58,0,3.0
82,Fortuna,US,2021-10-26 17:39:07,40.5982,-124.1573,56.98,69,90,5.01
83,Sitka,US,2021-10-26 17:40:26,57.0531,-135.33,48.09,61,90,12.66
84,Hofn,IS,2021-10-26 17:40:26,64.2539,-15.2082,41.99,93,100,30.65
85,Krasnoselkup,RU,2021-10-26 17:36:29,65.7,82.4667,23.99,96,100,14.79
86,Owase,JP,2021-10-26 17:40:27,34.0667,136.2,61.3,72,49,3.69
87,Saint-Philippe,RE,2021-10-26 17:40:27,-21.3585,55.7679,72.99,79,41,12.37
88,Geraldton,AU,2021-10-26 17:40:27,-28.7667,114.6,63.01,63,75,18.41
89,Chokurdakh,RU,2021-10-26 17:40:28,70.6333,147.9167,-19.93,100,42,3.76
90,Ossora,RU,2021-10-26 17:40:28,59.2353,163.0719,19.74,85,48,4.74
91,Ponta Do Sol,PT,2021-10-26 17:40:28,32.6667,-17.1,73.13,63,56,3.04
92,Bambous Virieux,MU,2021-10-26 17:40:29,-20.3428,57.7575,74.21,73,40,12.66
93,Bambanglipuro,ID,2021-10-26 17:40:29,-7.95,110.2833,77.94,80,99,4.83
94,Avarua,CK,2021-10-26 17:36:56,-21.2078,-159.775,73.45,68,72,6.91
95,Khatanga,RU,2021-10-26 17:40:29,71.9667,102.5,2.86,97,100,3.87
96,Aketi,CD,2021-10-26 17:40:30,2.7388,23.7833,72.77,97,79,0.76
97,Ust-Kulom,RU,2021-10-26 17:40:30,61.6864,53.6902,24.28,93,77,4.12
98,Nikolskoye,RU,2021-10-26 17:40:30,59.7035,30.7861,45.88,87,100,7.45
99,Llodio,ES,2021-10-26 17:40:31,43.1432,-2.962,64.38,69,20,5.75
100,Necochea,AR,2021-10-26 17:40:31,-38.5473,-58.7368,70.9,51,7,12.71
101,Jiayuguan,CN,2021-10-26 17:40:31,39.8167,98.3,38.25,62,1,3.44
102,Pangnirtung,CA,2021-10-26 17:39:25,66.1451,-65.7125,26.6,74,75,0.0
103,Atar,MR,2021-10-26 17:36:57,20.5169,-13.0499,94.64,19,80,14.0
104,Cairns,AU,2021-10-26 17:40:32,-16.9167,145.7667,76.95,83,73,4.61
105,Lagoa,PT,2021-10-26 17:40:32,39.05,-27.9833,69.73,86,100,25.55
106,Martapura,ID,2021-10-26 17:40:33,-3.4167,114.85,75.29,100,99,2.3
107,Phan Thiet,VN,2021-10-26 17:40:33,10.9333,108.1,75.18,93,100,8.12
108,Port Alfred,ZA,2021-10-26 17:40:33,-33.5906,26.891,66.24,83,95,28.21
109,Morondava,MG,2021-10-26 17:40:34,-20.2833,44.2833,77.34,83,1,15.68
110,Soyo,AO,2021-10-26 17:40:34,-6.1349,12.3689,80.65,81,45,7.85
111,Huilong,CN,2021-10-26 17:40:34,31.8111,121.655,69.01,73,36,3.6
112,Zhigalovo,RU,2021-10-26 17:40:34,54.8097,105.1578,33.12,93,30,3.36
113,Busembatia,UG,2021-10-26 17:40:35,0.7697,33.6131,68.22,77,65,8.01
114,Sur,OM,2021-10-26 17:40:35,22.5667,59.5289,80.24,75,0,9.86
115,Narsaq,GL,2021-10-26 17:40:35,60.9167,-46.05,44.82,61,39,4.74
116,Thompson,CA,2021-10-26 17:40:36,55.7435,-97.8558,37.56,81,75,5.75
117,Sao Joao Da Barra,BR,2021-10-26 17:40:36,-21.6403,-41.0511,80.69,94,100,3.04
118,Kodiak,US,2021-10-26 17:40:36,57.79,-152.4072,39.27,78,100,10.85
119,Macusani,PE,2021-10-26 17:40:37,-14.0833,-70.4333,46.15,63,44,8.77
120,Vrangel,RU,2021-10-26 17:40:37,42.7297,133.0839,53.11,85,73,2.06
121,Bathsheba,BB,2021-10-26 17:40:37,13.2167,-59.5167,88.41,62,40,18.41
122,Bethanien,NA,2021-10-26 17:40:38,-26.502,17.1583,72.75,33,0,14.99
123,Bredasdorp,ZA,2021-10-26 17:40:38,-34.5322,20.0403,65.52,72,99,20.71
124,Upernavik,GL,2021-10-26 17:40:38,72.7868,-56.1549,16.0,48,90,4.72
125,Kuybyshevo,RU,2021-10-26 17:40:39,47.8123,38.9073,38.8,41,14,3.98
126,Rocha,UY,2021-10-26 17:40:39,-34.4833,-54.3333,84.47,47,0,12.95
127,Palaiseau,FR,2021-10-26 17:40:39,48.7167,2.25,58.64,86,90,1.01
128,Dukat,RU,2021-10-26 17:40:40,62.55,155.55,-1.41,92,18,2.13
129,Langxiang,CN,2021-10-26 17:40:40,46.95,128.8833,34.59,87,6,3.94
130,Vargem Grande,BR,2021-10-26 17:40:40,-3.5431,-43.9158,98.87,29,28,4.99
131,Lalin,ES,2021-10-26 17:40:41,42.7167,-8.1167,62.65,65,34,0.27
132,Bulungu,CD,2021-10-26 17:40:41,-4.55,18.6,76.87,76,61,2.8
133,Bousso,TD,2021-10-26 17:40:41,10.4795,16.7117,84.25,50,68,2.86
134,Cayenne,GF,2021-10-26 17:40:42,4.9333,-52.3333,87.84,82,90,5.01
135,Charagua,BO,2021-10-26 17:40:42,-19.8,-63.2167,89.17,11,0,10.16
136,Guamuchil,MX,2021-10-26 17:40:42,25.4667,-108.1,82.74,48,0,3.74
137,San Cristobal,VE,2021-10-26 17:36:04,7.7669,-72.225,77.18,52,98,7.14
138,Huarmey,PE,2021-10-26 17:40:43,-10.0681,-78.1522,70.47,69,62,12.21
139,Kaitangata,NZ,2021-10-26 17:40:43,-46.2817,169.8464,51.12,98,100,2.28
140,Kamaishi,JP,2021-10-26 17:40:43,39.2667,141.8833,51.46,80,2,5.66
141,Mayumba,GA,2021-10-26 17:40:44,-3.432,10.6554,76.89,88,100,7.36
142,Uray,RU,2021-10-26 17:40:44,60.1247,64.7758,26.46,69,24,7.2
143,Saskylakh,RU,2021-10-26 17:40:44,71.9167,114.0833,1.2,98,100,1.25
144,Champerico,GT,2021-10-26 17:40:44,14.3,-91.9167,92.77,73,13,6.69
145,Voh,NC,2021-10-26 17:40:45,-20.9667,164.7,69.4,88,100,3.83
146,Coquimbo,CL,2021-10-26 17:37:46,-29.9533,-71.3436,60.53,77,75,6.91
147,Lebu,CL,2021-10-26 17:40:45,-37.6167,-73.65,57.07,73,9,17.2
148,Yellowknife,CA,2021-10-26 17:38:37,62.456,-114.3525,36.41,100,90,4.61
149,Suluq,LY,2021-10-26 17:40:46,31.6682,20.2521,72.21,71,0,7.67
150,Kapaa,US,2021-10-26 17:40:46,22.0752,-159.319,73.72,89,1,10.36
151,Dingle,PH,2021-10-26 17:40:46,10.9995,122.6711,75.72,93,81,6.6
152,Arraial Do Cabo,BR,2021-10-26 17:40:47,-22.9661,-42.0278,76.96,78,75,14.97
153,Umm Lajj,SA,2021-10-26 17:40:47,25.0213,37.2685,80.1,62,0,5.37
154,Longyearbyen,SJ,2021-10-26 17:40:47,78.2186,15.6401,12.04,79,20,6.91
155,Young,UY,2021-10-26 17:40:48,-32.6833,-57.6333,97.23,33,0,10.94
156,Bagan,RU,2021-10-26 17:40:48,54.1001,77.6646,31.73,61,40,16.24
157,Teruel,ES,2021-10-26 17:40:48,40.6667,-0.6667,57.16,66,0,3.89
158,Georgetown,MY,2021-10-26 17:40:49,5.4112,100.3354,78.89,97,40,7.0
159,Kisangani,CD,2021-10-26 17:40:49,0.5167,25.2,80.96,78,75,9.22
160,Emerald,AU,2021-10-26 17:40:49,-23.5333,148.1667,69.98,68,17,6.91
161,Beringovskiy,RU,2021-10-26 17:40:50,63.05,179.3167,9.81,97,100,23.09
162,Puerto Ayora,EC,2021-10-26 17:40:50,-0.7393,-90.3518,75.16,74,67,10.96
163,Huntsville,US,2021-10-26 17:35:56,34.7304,-86.5861,62.91,66,20,1.99
164,Bulolo,PG,2021-10-26 17:40:50,-7.2,146.65,68.65,98,96,2.28
165,Pangody,RU,2021-10-26 17:40:51,65.85,74.4859,17.29,89,100,8.9
166,Ojinaga,MX,2021-10-26 17:40:51,29.5667,-104.4167,89.56,23,1,4.61
167,Luganville,VU,2021-10-26 17:40:51,-15.5333,167.1667,77.47,86,5,3.24
168,Matara,LK,2021-10-26 17:40:52,5.9485,80.5353,77.67,87,100,5.46
169,Emba,KZ,2021-10-26 17:40:52,48.8264,58.1442,36.75,52,80,6.71
170,Carnarvon,AU,2021-10-26 17:40:52,-24.8667,113.6333,64.47,55,75,11.5
171,Grand Forks,US,2021-10-26 17:40:52,47.9417,-97.4337,51.73,56,75,27.63
172,Zyryanovsk,KZ,2021-10-26 17:40:53,49.7386,84.2719,42.12,52,8,1.81
173,Marawi,PH,2021-10-26 17:40:53,7.9986,124.2928,69.66,93,83,1.39
174,Aklavik,CA,2021-10-26 17:40:53,68.2191,-135.0107,25.63,96,100,3.8
175,Portland,US,2021-10-26 17:37:12,45.5234,-122.6762,55.45,88,90,5.01
176,Laguna,US,2021-10-26 17:38:36,38.421,-121.4238,63.0,76,75,1.01
177,Bengkulu,ID,2021-10-26 17:40:54,-3.8004,102.2655,76.03,90,100,5.23
178,Santiago De Cuba,CU,2021-10-26 17:40:54,20.0247,-75.8219,87.91,62,40,8.05
179,Beira,MZ,2021-10-26 17:40:55,-19.8436,34.8389,77.09,78,75,10.36
180,Lerwick,GB,2021-10-26 17:40:55,60.1545,-1.1494,51.8,95,100,26.37
